Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.159,-0.01171875,0.934570313,0.204101563,-15.50292969,-4.699707031,4.760742188,1.88E+08
192.168.43.159,0.002441406,0.900390625,0.1953125,-15.31982422,-6.286621094,3.601074219,1.88E+08
192.168.43.159,0.008789063,1.017578125,0.162109375,-4.760742188,2.014160156,5.676269531,1.88E+08
192.168.43.159,-0.009765625,0.962402344,0.187011719,-13.06152344,0.305175781,4.516601563,1.88E+08
192.168.43.159,-0.007324219,0.903808594,0.206054688,-21.11816406,-5.615234375,2.563476563,1.88E+08
192.168.43.159,0.005859375,1.031738281,0.16796875,-6.225585938,-1.953125,4.39453125,1.88E+08
192.168.43.159,-0.010742188,0.870117188,0.2109375,-25.02441406,-9.338378906,2.9296875,1.88E+08
192.168.43.159,0.010742188,0.989257813,0.204589844,-8.666992188,0.244140625,5.249023438,1.88E+08
192.168.43.159,-0.017089844,1.003417969,0.209472656,-10.31494141,3.112792969,5.615234375,1.88E+08
192.168.43.159,0.01953125,0.935058594,0.216796875,-18.49365234,-3.967285156,4.028320313,1.88E+08
192.168.43.159,-0.015625,1.042480469,0.198730469,-12.45117188,-3.845214844,4.39453125,1.88E+08
192.168.43.159,0.032226563,0.831542969,0.245117188,-20.38574219,-8.422851563,5.126953125,1.88E+08
192.168.43.159,-0.007324219,1.050292969,0.208496094,-6.408691406,3.41796875,5.859375,1.89E+08
192.168.43.159,0.0625,0.9453125,0.254882813,-14.89257813,-2.319335938,5.126953125,1.89E+08
192.168.43.159,0.041015625,0.948730469,0.275878906,-12.26806641,2.624511719,4.150390625,1.89E+08
192.168.43.159,0.019042969,0.8984375,0.282714844,-14.77050781,-1.525878906,3.356933594,1.89E+08
192.168.43.159,0.00390625,0.996582031,0.233886719,-9.460449219,-3.234863281,3.234863281,1.89E+08
192.168.43.159,-0.001464844,0.970703125,0.251464844,-16.90673828,-10.68115234,2.563476563,1.89E+08
192.168.43.159,-0.031738281,1.084960938,0.233398438,-2.258300781,2.624511719,3.051757813,1.89E+08
192.168.43.159,0.047851563,0.838378906,0.305175781,-20.56884766,-14.89257813,1.647949219,1.89E+08
192.168.43.159,0.065429688,0.978515625,0.257324219,1.586914063,-1.892089844,3.479003906,1.89E+08
192.168.43.159,-9.77E-04,0.940429688,0.254394531,-10.55908203,-3.662109375,0.9765625,1.89E+08
192.168.43.159,0.046875,0.879882813,0.309570313,-15.80810547,-11.29150391,0.9765625,1.89E+08
192.168.43.159,0.064453125,0.96484375,0.319335938,-2.502441406,-0.183105469,1.647949219,1.89E+08
192.168.43.159,-0.018554688,0.995117188,0.267578125,-5.676269531,2.136230469,1.037597656,1.89E+08
192.168.43.159,0.059082031,0.924316406,0.295410156,-9.094238281,-5.004882813,1.708984375,1.89E+08
192.168.43.159,0.057617188,0.92578125,0.296875,-5.554199219,4.150390625,2.44140625,1.89E+08
192.168.43.159,0.023925781,0.979003906,0.298339844,-0.183105469,11.59667969,1.281738281,1.89E+08
